section	offset	size	unit	scope	name	demangled
.text	0x0002BEDC	0x38C	em1b/em10.cpp	global	em10CatchSubCk__FP5cEm10	em10CatchSubCk
.text	0x0002C268	0x348	em1b/em10.cpp	global	em10CsawHitCk__FP5cEm10	em10CsawHitCk
.text	0x0002C5B0	0x78	em1b/em10.cpp	global	em10LostHeadCk__FP5cEm10	em10LostHeadCk
.text	0x0002C628	0x674	em1b/em10.cpp	global	em10LostHead__FP5cEm10ii	em10LostHead
.text	0x0002CC9C	0x1CC	em1b/em10.cpp	global	em10CallVoiceSe	em10CallVoiceSe
.text	0x0002CE68	0xC8	em1b/em10.cpp	global	em10CallVoiceSe2__FP5cEm10ii	em10CallVoiceSe2
.text	0x0002CF30	0xBC	em1b/em10.cpp	global	em10BreathSe__FP5cEm10	em10BreathSe
.text	0x0002CFEC	0x144	em1b/em10.cpp	global	em10CsawSignSe	em10CsawSignSe
.text	0x0002D130	0x134	em1b/em10.cpp	global	em10ModelInit__FP5cEm10	em10ModelInit
.text	0x0002D264	0x1D8	em1b/em10.cpp	global	Em10SetSeTbl	Em10SetSeTbl
.text	0x0002D43C	0x360	em1b/em10.cpp	global	em10WeaponInit	em10WeaponInit
.text	0x0002D79C	0xC30	em1b/em10.cpp	global	em10SetAccesory	em10SetAccesory
.text	0x0002E3CC	0x3C8	em1b/em10.cpp	global	em10MakeWeapon__FP5cEm10i	em10MakeWeapon
.text	0x0002E794	0x428	em1b/em10.cpp	global	em10WeaponSet__FP5cEm10	em10WeaponSet
.text	0x0002EBBC	0x1D8	em1b/em10.cpp	global	em10WeaponSet2	em10WeaponSet2
.text	0x0002ED94	0x23C	em1b/em10.cpp	global	em10WepSeEffSet	em10WepSeEffSet
.text	0x0002EFD0	0x1A4	em1b/em10.cpp	global	em10ShieldSet	em10ShieldSet
.text	0x0002F174	0x1F4	em1b/em10.cpp	global	em10HandSet__FP5cEm10i	em10HandSet
.text	0x0002F368	0x174	em1b/em10.cpp	global	setHand__5cEm10ii	cEm10::setHand
.text	0x0002F4DC	0x118	em1b/em10.cpp	global	em10HeadSet__FP5cEm10i	em10HeadSet
.text	0x0002F5F4	0x9C	em1b/em10.cpp	global	em10ClothPartsSet	em10ClothPartsSet
.text	0x0002F690	0x9C	em1b/em10.cpp	global	em10GoodsPartsSet	em10GoodsPartsSet
.text	0x0002F72C	0xEC	em1b/em10.cpp	global	em10SackSet	em10SackSet
.text	0x0002F818	0x320	em1b/em10.cpp	global	em10ClimbOverCk2	em10ClimbOverCk2
.text	0x0002FB38	0xB0	em1b/em10.cpp	global	em10ClimbOverCk__FP5cEm10	em10ClimbOverCk
.text	0x0002FBE8	0x294	em1b/em10.cpp	global	em10WindowCk2	em10WindowCk2
.text	0x0002FE7C	0x10C	em1b/em10.cpp	global	em10WindowCk__FP5cEm10	em10WindowCk
.text	0x0002FF88	0x350	em1b/em10.cpp	global	em10DoorOpenCk__FP5cEm10i	em10DoorOpenCk
.text	0x000302D8	0x260	em1b/em10.cpp	global	em10AtkDoorCk	em10AtkDoorCk
.text	0x00030538	0x3C0	em1b/em10.cpp	global	em10SetDamageDoor__FP5cEm10i	em10SetDamageDoor
.text	0x000308F8	0x2EC	em1b/em10.cpp	global	em10RackBreakCk__FP5cEm10	em10RackBreakCk
.text	0x00030BE4	0x1DC	em1b/em10.cpp	global	em10AtkRackCk	em10AtkRackCk
.text	0x00030DC0	0x200	em1b/em10.cpp	global	em10SetDamageRack__FP5cEm10i	em10SetDamageRack
.text	0x00030FC0	0x230	em1b/em10.cpp	global	em10LadderClimbCk__FP5cEm10	em10LadderClimbCk
.text	0x000311F0	0x360	em1b/em10.cpp	global	em10VLadderClimbCk__FP5cEm10	em10VLadderClimbCk
.text	0x00031550	0x168	em1b/em10.cpp	global	em10LadderResetCk__FP5cEm10	em10LadderResetCk
.text	0x000316B8	0x2FC	em1b/em10.cpp	global	em10JumpDownCk2	em10JumpDownCk2
.text	0x000319B4	0x1B0	em1b/em10.cpp	global	em10JumpDownCk__FP5cEm10	em10JumpDownCk
.text	0x00031B64	0x1E8	em1b/em10.cpp	global	em10JumpCk__FP5cEm10	em10JumpCk
.text	0x00031D4C	0x1E4	em1b/em10.cpp	global	em10BullJumpCk	em10BullJumpCk
.text	0x00031F30	0x20	em1b/em10.cpp	global	em10ReturnStartPosCk__FP5cEm10	em10ReturnStartPosCk
.text	0x00031F50	0x354	em1b/em10.cpp	global	em10ParasiteAtkCk	em10ParasiteAtkCk
.text	0x000322A4	0x14C	em1b/em10.cpp	global	em10ShotBowgunCk	em10ShotBowgunCk
