address	size	section	unit	scope	name	demangled
0x80016268	0x238	.text	game/emwep.cpp	global	emWepRocketBobm	emWepRocketBobm
0x800164A0	0x190	.text	game/emwep.cpp	global	emWepArrowBomb	emWepArrowBomb
0x80016630	0x624	.text	game/emwep.cpp	global	emWep_R1_BombThrow	emWep_R1_BombThrow
0x80016C54	0x450	.text	game/emwep.cpp	global	emWep_R1_FlashThrow	emWep_R1_FlashThrow
0x800170A4	0x508	.text	game/emwep.cpp	global	emWep_R1_GrenadeThrow	emWep_R1_GrenadeThrow
0x800175AC	0xDC	.text	game/emwep.cpp	global	emWepEscapeAction	emWepEscapeAction
0x80017688	0x1FC	.text	game/emwep.cpp	global	plemEscape_80017688	plemEscape
0x80017884	0x2C0	.text	game/emwep.cpp	global	plemBackjump	plemBackjump
0x80017B44	0x200	.text	game/emwep.cpp	global	plemFrontEscape	plemFrontEscape
0x80017D44	0x258	.text	game/emwep.cpp	global	emWepEscapeCamMove	emWepEscapeCamMove
0x80017F9C	0x4C	.text	game/emwep.cpp	global	setParent__6cEmWepP3cEmii	cEmWep::setParent
0x80017FE8	0x1EC	.text	game/emwep.cpp	global	setFall__6cEmWepiP3Vecf	cEmWep::setFall
0x800181D4	0x21C	.text	game/emwep.cpp	global	setThrow__6cEmWepP3VecP9EmAtkInfof	cEmWep::setThrow
0x800183F0	0x1C4	.text	game/emwep.cpp	global	setThrowScythe__6cEmWepP3VecP9EmAtkInfo	cEmWep::setThrowScythe
0x800185B4	0x224	.text	game/emwep.cpp	global	setShot__6cEmWepP3VecP9EmAtkInfo	cEmWep::setShot
0x800187D8	0x224	.text	game/emwep.cpp	global	setShotArrow__6cEmWepP3VecP9EmAtkInfo	cEmWep::setShotArrow
0x800189FC	0x21C	.text	game/emwep.cpp	global	setRocket__6cEmWepP3cEmP3VecP9EmAtkInfo	cEmWep::setRocket
0x80018C18	0x1FC	.text	game/emwep.cpp	global	setBombThrow__6cEmWepP3Veci	cEmWep::setBombThrow
0x80018E14	0x1E0	.text	game/emwep.cpp	global	setFlashThrow__6cEmWepP3Veci	cEmWep::setFlashThrow
0x80018FF4	0x21C	.text	game/emwep.cpp	global	setGrenadeThrow__6cEmWepP3VeciPvN33	cEmWep::setGrenadeThrow
0x80019210	0x1C	.text	game/emwep.cpp	global	setSeFall__6cEmWepUcUcUc	cEmWep::setSeFall
0x8001922C	0x14	.text	game/emwep.cpp	global	setSeDamage__6cEmWepUcUcUc	cEmWep::setSeDamage
0x80019240	0x14	.text	game/emwep.cpp	global	setSeHit__6cEmWepUcUcUc	cEmWep::setSeHit
0x80019254	0x14	.text	game/emwep.cpp	global	setSeHitWall__6cEmWepUcUcUc	cEmWep::setSeHitWall
0x80019268	0x18	.text	game/emwep.cpp	global	setSeThrow__6cEmWepUcUcUcUc	cEmWep::setSeThrow
0x80019280	0x1C	.text	game/emwep.cpp	global	setSeAlways__6cEmWepUcUcUcUc	cEmWep::setSeAlways
0x8001929C	0x10	.text	game/emwep.cpp	global	setEffFall__6cEmWepUcUc	cEmWep::setEffFall
0x800192AC	0x10	.text	game/emwep.cpp	global	setEffDamage__6cEmWepUcUc	cEmWep::setEffDamage
0x800192BC	0x10	.text	game/emwep.cpp	global	setEffHit__6cEmWepUcUc	cEmWep::setEffHit
0x800192CC	0x10	.text	game/emwep.cpp	global	setEffWater__6cEmWepUcUc	cEmWep::setEffWater
