section	offset	size	unit	scope	name	demangled
.rodata	0x00000F94	0xC	t_id/tools.cpp	local	lbl_t_id_rodata_F94	lbl_t_id_rodata_F94
.rodata	0x00000FA0	0x10	t_id/tools.cpp	local	lbl_t_id_rodata_FA0	lbl_t_id_rodata_FA0
.rodata	0x00000FB0	0x10	t_id/tools.cpp	local	lbl_t_id_rodata_FB0	lbl_t_id_rodata_FB0
.rodata	0x00000FC0	0x9C	t_id/tools.cpp	local	lbl_t_id_rodata_FC0	lbl_t_id_rodata_FC0
.rodata	0x0000105C	0x28	t_id/tools.cpp	local	lbl_t_id_rodata_105C	lbl_t_id_rodata_105C
.rodata	0x00001084	0x28	t_id/tools.cpp	local	lbl_t_id_rodata_1084	lbl_t_id_rodata_1084
.rodata	0x000010AC	0x38	t_id/tools.cpp	local	lbl_t_id_rodata_10AC	lbl_t_id_rodata_10AC
.rodata	0x000010E4	0x28	t_id/tools.cpp	local	lbl_t_id_rodata_10E4	lbl_t_id_rodata_10E4
.rodata	0x0000110C	0x1C	t_id/tools.cpp	local	lbl_t_id_rodata_110C	lbl_t_id_rodata_110C
.data	0x00000000	0xC	t_id/db_path.cpp	global	path_routine_tbl	path_routine_tbl
.data	0x0000000C	0x8	t_id/db_path.cpp	local	path_menu_name	path_menu_name
.data	0x00000014	0x14	t_id/db_path.cpp	local	path_type_name	path_type_name
.data	0x00000028	0x1	t_id/db_path.cpp	local	path_edit_mode	path_edit_mode
.data	0x00000030	0xC	t_id/db_sctrl.cpp	local	sctrl_routine_tbl	sctrl_routine_tbl
.data	0x0000003C	0x18	t_id/db_sctrl.cpp	local	sctrl_menu_name	sctrl_menu_name
.data	0x00000054	0x1	t_id/db_sctrl.cpp	local	sctrl_edit_mode	sctrl_edit_mode
.data	0x00000058	0x54	t_id/t_id.cpp	local	subScreenName	subScreenName
.data	0x000000AC	0x1C	t_id/t_id.cpp	local	langName	langName
.data	0x000000C8	0xC	t_id/t_id.cpp	local	toolIdFunc	toolIdFunc
.data	0x000000D4	0x4	t_id/t_id.cpp	local	pIdTool.220	pIdTool.220
.data	0x000000D8	0x8	t_id/t_id.cpp	local	pageName	pageName
.data	0x000000E0	0x14	t_id/t_id.cpp	local	mainMenuName	mainMenuName
.data	0x000000F4	0x14	t_id/t_id.cpp	local	toolIdMainFunc	toolIdMainFunc
.data	0x00000108	0x10	t_id/t_id.cpp	local	unitMenuName	unitMenuName
.data	0x00000118	0x4	t_id/t_id.cpp	local	selLimit0	selLimit0
.data	0x0000011C	0x4	t_id/t_id.cpp	local	selLimit1	selLimit1
.data	0x00000120	0x4	t_id/t_id.cpp	local	idMenuName	idMenuName
.data	0x00000124	0x18	t_id/t_id.cpp	local	posMenuName	posMenuName
.data	0x0000013C	0x14	t_id/t_id.cpp	local	anchorName	anchorName
.data	0x00000150	0x8	t_id/t_id.cpp	local	onOffName	onOffName
.data	0x00000158	0x18	t_id/t_id.cpp	local	sizeMenuName	sizeMenuName
.data	0x00000170	0x8	t_id/t_id.cpp	local	texFixName	texFixName
.data	0x00000178	0x8	t_id/t_id.cpp	local	onOffName2	onOffName2
.data	0x00000180	0xC	t_id/t_id.cpp	local	axisName	axisName
.data	0x0000018C	0x10	t_id/t_id.cpp	local	colMenuName	colMenuName
.data	0x0000019C	0x20	t_id/t_id.cpp	local	colName	colName
.data	0x000001BC	0x8	t_id/t_id.cpp	local	onOffName3	onOffName3
.data	0x000001C4	0x14	t_id/t_id.cpp	local	rotMenuName	rotMenuName
.data	0x000001D8	0xC	t_id/t_id.cpp	local	rotAxisName	rotAxisName
.data	0x000001E4	0x8	t_id/t_id.cpp	local	onOffName4	onOffName4
.data	0x000001EC	0x14	t_id/t_id.cpp	local	transMenuName	transMenuName
.data	0x00000200	0x14	t_id/t_id.cpp	local	transTypeName	transTypeName
.data	0x00000214	0x14	t_id/t_id.cpp	local	transModeName	transModeName
.data	0x00000228	0x4	t_id/t_id.cpp	local	markMenuName	markMenuName
.data	0x0000022C	0x20	t_id/t_id.cpp	local	editDispFunc	editDispFunc
.data	0x0000024C	0x14	t_id/t_id.cpp	local	anchorName2	anchorName2
.data	0x00000260	0xC	t_id/t_id.cpp	local	optMenuName	optMenuName
.data	0x0000026C	0x1C	t_id/t_id.cpp	local	langName2	langName2
.data	0x00000288	0x10	t_id/t_id.cpp	local	randMenuName	randMenuName
.data	0x00000298	0x4	t_id/t_util.cpp	global	old_menu	old_menu
.data	0x0000029C	0x1	t_id/t_util.cpp	local	cursor_s.210	cursor_s.210
.data	0x0000029D	0x1	t_id/t_util.cpp	local	flicker.211	flicker.211
.bss	0x00000000	0xC	t_id/db_path.cpp	global	path_draw_prev	path_draw_prev
.bss	0x0000000C	0x284	t_id/t_id.cpp	local	idToolWork.219	idToolWork.219
.bss	0x00000290	0x4	t_id/t_id.cpp	local	selNo.260	selNo.260
.bss	0x00000294	0x4	t_id/t_id.cpp	local	selCnt.261	selCnt.261
.bss	0x00000298	0x4	t_id/t_id.cpp	local	selCnt2.262	selCnt2.262
.bss	0x0000029C	0x4	t_id/t_id.cpp	local	selOver.263	selOver.263
.bss	0x000002A0	0x4	t_id/t_id.cpp	local	optCur.318	optCur.318
.bss	0x000002A4	0x180	t_id/t_id.cpp	local	focusTrail.382	focusTrail.382
.bss	0x00000424	0x20	t_id/t_id.cpp	local	focusTrailCnt.383	focusTrailCnt.383
.bss	0x00000444	0x20	t_id/t_id.cpp	local	focusTrailCol.384	focusTrailCol.384
.bss	0x00000464	0x30	t_id/t_id.cpp	local	focusVtx.385	focusVtx.385
.bss	0x00000494	0x30	t_id/t_id.cpp	local	focusCur.386	focusCur.386
.bss	0x000004C4	0x11DC00	t_id/t_id.cpp	local	idData	idData
.bss	0x0011E0C4	0x2FA00	t_id/t_id.cpp	local	idClip	idClip
.bss	0x0014DAC4	0x50	t_id/t_id.cpp	global	toolIdSys	toolIdSys
